statement,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,category,elicitation
if alex takes a breather it'll become a snoozer,1,1,1,1,1,1,General reference,situation response
if alex takes a breather might think of which to hand it,0,0,0,0,1,1,Health and fitness,situation response
if alex takes a breather the other might not,0,0,0,1,0,1,History and events,situation response
if alex takes a breather they will be well rested,0,0,0,0,0,1,General reference,situation response
if alex takes a breather they will run to work,0,1,0,1,0,1,Human activities,situation response
if alex takes advantage of sam it is because they love and respect them,1,0,0,1,1,1,Culture and the arts,situation response
if alex takes advantage of sam Morgan will side with alex in undermining sam,1,1,0,1,1,1,People and self,situation response
if alex takes advantage of sam then sam will feel happy,1,0,1,1,1,1,Human activities,situation response
if alex takes alex's pick he would assume his pick is always right,0,0,0,0,1,1,General reference,situation response
if alex takes alex's pick he'll consider other options carefully too,0,0,0,0,0,1,General reference,situation response
if alex takes sam a long time alex would assume that sam has been abducted by aliens and will never return,0,0,0,0,0,0,People and self,situation response
if alex takes sam a long time they will make a chris,1,1,0,1,1,1,Culture and the arts,situation response
if alex takes sam word for it alex believes sam is right about everything,1,1,0,1,1,1,People and self,situation response
if alex takes sam word for it alex might experience negative feelings about sam if it later turns out to be untrue,1,1,0,1,1,1,People and self,situation response
if alex takes sam word for it alex pretends they trust sam,1,0,0,1,1,1,History and events,situation response
if alex takes sam word for it alex would get lied to,0,0,0,0,1,1,Culture and the arts,situation response
if alex takes sam word for it for answer,0,1,1,1,1,1,Health and fitness,situation response
if alex takes sam word for it it is because the story seemed far fetched,1,1,0,1,0,1,People and self,situation response
if alex takes sam's allowance he would keep it safely for sam,1,1,0,1,1,1,General reference,situation response
if alex takes sam's allowance he would squander it,1,1,0,1,1,1,People and self,situation response
if alex takes sam's allowance they would tell sam they stole it,1,0,0,1,0,1,People and self,situation response
if alex takes sam's family alex will feel responsible for the family,0,0,0,0,0,1,General reference,situation response
if alex takes sam's family alex will kill the kid,1,1,0,1,0,1,People and self,situation response
if alex takes sam's family out to dinner sam will be grateful,1,1,0,1,0,1,People and self,situation response
if alex takes sam's shot at success sam will be upset,0,0,0,0,1,1,Health and fitness,situation response
if alex takes sam's shot run away from sam,1,1,0,1,1,1,Human activities,situation response
if alex takes sam's shot they will turn themselves in to the cops,0,0,0,0,0,1,General reference,situation response
if alex takes some medicine they will feel better in a few hours,0,0,0,0,0,1,Health and fitness,situation response
if alex takes some medicine they would take the wrong kind for their ailments,0,0,0,0,1,0,Human activities,situation response
if alex takes the car he will drive into a lake because he wasn't paying attention,0,1,1,1,0,1,Human activities,situation response
if alex takes the car then they will drive until the car runs out of gas and park on the side of the road,0,1,0,0,0,1,Religion and belief systems,situation response
if alex takes the puppy they will announce it on social media,1,1,0,1,0,1,People and self,situation response
if alex takes the puppy they will disguise how it looks,1,1,0,1,0,1,General reference,situation response
if alex takes the trash out they may put it in the recycling bin instead,1,0,0,0,1,1,Health and fitness,situation response
if alex takes the trash out they will do it early enough for the trash man to get it,0,0,0,1,1,1,Human activities,situation response
if alex takes time off alex will spend the time both relaxing and catching up on work that's needed at home,0,0,0,0,0,1,Culture and the arts,situation response
if alex takes time off alex will spend the time partying and recklessly spending money,1,0,0,1,0,1,People and self,situation response
if alex tans sam's hide they'll deserve it,0,0,1,0,1,0,Culture and the arts,situation response
if alex tans sam's hide they'll miss a spot,0,1,0,0,0,0,General reference,situation response
if alex teaches sam anything sam gets more ignorant,0,0,0,0,1,1,General reference,situation response
if alex teaches sam anything sam will be very grateful,1,1,0,1,1,1,Human activities,situation response
if alex teaches sam anything sam will punch alex,0,0,0,0,1,1,Geography and places,situation response
if alex teaches sam anything then sam is dumber now,0,0,0,0,0,1,Geography and places,situation response
if alex tells sam had the flu alex will maintain a distance and take other precautions e g vaccination,1,1,0,1,0,1,People and self,situation response
if alex tells sam had the flu they will avoid sam,0,1,0,0,1,0,General reference,situation response
if alex tells sam had the flu they would ask sam to share their drink with them,1,1,0,1,1,1,Health and fitness,situation response
if alex tells sam had the flu they would keep their distance and not share food or drinks with sam,1,1,0,1,1,1,Human activities,situation response
if alex tells sam's anything then they might speak in a language that the second person doesn't understand,0,0,0,0,0,1,General reference,situation response
if alex texts sam back he will get annoyed if he doesn't get a reply immediately,0,1,0,1,0,1,Health and fitness,situation response
if alex texts sam back he'll patiently await a response,0,1,0,0,0,1,General reference,situation response
if alex throws sam a surprise birthday party alex would tell all of the invitees to tell sam about it beforehand,1,1,0,1,0,1,People and self,situation response
if alex throws sam a surprise birthday party he she is careful to consider what sam would enjoy,0,0,0,0,0,1,Religion and belief systems,situation response
if alex throws sam a surprise party but makes sure to tell no one who can't keep a secret about it,0,0,0,0,0,1,Religion and belief systems,situation response
if alex throws sam a surprise party but posts publicly on facebook that they're planning a surprise party for sam,0,0,0,0,1,1,Health and fitness,situation response
if alex throws sam a surprise party he will invite too many people,1,1,0,1,1,1,Human activities,situation response
if alex throws sam a surprise party he will keep it a surprise,0,0,0,0,0,1,General reference,situation response
if alex throws sam a surprise party they will not let on about the party so that it will truly be a surprise,1,1,0,1,1,1,People and self,situation response
if alex tosses it back alex forgets to catch it,0,0,0,1,1,1,Human activities,situation response
if alex tosses it back tails is the practice of throwing a coin in the air,0,1,1,0,1,0,History and events,situation response
